iso3,country_name,evidence_class,component_name,raw_variable_name,raw_value,raw_unit,standardized_score,transform,direction,weight,source_id,source_url,source_year,missing_flag,imputation_rule
CHE,Switzerland,cloud GPU regions,cloud_gpu_region_evidence_count,cloud_gpu_region_evidence_count,4.0,count,0.5064224831767222,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,data-center footprint,osm_strict_data_center_count,osm_strict_data_center_count,30.0,count,0.4689208181465823,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,direct measured AI load gate,measured_ai_load_available,measured_ai_load_available,False,binary,0.0,boolean identity,higher=stronger,0.0,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,no_imputation_boolean_gate
CHE,Switzerland,hyperscale MW,accelerator_count_mixed_for_score,accelerator_count_mixed_for_score,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,hyperscale MW,countable_project_capacity_mw,countable_project_capacity_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.25,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,hyperscale MW,hyperscale_project_row_count,hyperscale_project_row_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,public load/capacity,load_capacity_proxy_mw,load_capacity_proxy_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,public load/capacity,public_load_envelope_twh_mid,public_load_envelope_twh_mid,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,AI cluster evidence,epoch_h100_equiv_sum,epoch_h100_equiv_sum,0.0,H100-equivalent count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
