metric,bootstrap_spearman
capacity-prior consistency,0.5002105854274884
capacity-prior consistency,0.6437315322921064
capacity-prior consistency,0.298876404494382
capacity-prior consistency,0.6293794850147743
capacity-prior consistency,0.39208532135840574
capacity-prior consistency,0.47520719202135137
capacity-prior consistency,0.4792633206804444
capacity-prior consistency,0.5413904949936538
capacity-prior consistency,0.34945178521225756
capacity-prior consistency,0.710307973562087
capacity-prior consistency,0.5256950294860994
capacity-prior consistency,0.4945209328463053
capacity-prior consistency,0.5573078006195437
capacity-prior consistency,0.6613355780022447
capacity-prior consistency,0.4394152375597414
capacity-prior consistency,0.48080438756855576
capacity-prior consistency,0.33717174554135654
capacity-prior consistency,0.5418947368421052
capacity-prior consistency,0.19201574360416088
capacity-prior consistency,0.3547752808988764
capacity-prior consistency,0.5468991702995359
capacity-prior consistency,0.7018406632007869
capacity-prior consistency,0.40448807854137453
capacity-prior consistency,0.7068239258635215
capacity-prior consistency,0.2851326688193177
capacity-prior consistency,0.3813273340832396
capacity-prior consistency,0.4209047485248666
capacity-prior consistency,0.26858749121574144
capacity-prior consistency,0.6361594609769791
capacity-prior consistency,0.14827295703454088
capacity-prior consistency,0.6236816200253129
capacity-prior consistency,0.3498452012383901
capacity-prior consistency,0.36128306133933596
capacity-prior consistency,0.5047136625861827
capacity-prior consistency,0.6759572072072071
capacity-prior consistency,0.3135795534335065
capacity-prior consistency,0.5385913116828344
capacity-prior consistency,0.5901179112857945
capacity-prior consistency,0.6653565412689499
capacity-prior consistency,0.4867256637168142
capacity-prior consistency,0.48547368421052634
capacity-prior consistency,0.28794047451916327
capacity-prior consistency,0.7261586138892802
capacity-prior consistency,0.4245998315080034
capacity-prior consistency,0.08504646578428611
capacity-prior consistency,0.5089887640449439
capacity-prior consistency,0.5612703766160765
capacity-prior consistency,0.4493608652900689
capacity-prior consistency,0.6259820426487093
capacity-prior consistency,0.5495647290087055
capacity-prior consistency,0.2663485826550659
capacity-prior consistency,0.1979195951644645
capacity-prior consistency,0.47371380376721967
capacity-prior consistency,0.5538094569945279
capacity-prior consistency,0.3909014321819713
capacity-prior consistency,0.3399775407074677
capacity-prior consistency,0.738359825573217
capacity-prior consistency,0.5880454609232496
capacity-prior consistency,0.09918516437201465
capacity-prior consistency,0.4998594321057072
capacity-prior consistency,0.4002248454187746
capacity-prior consistency,0.5987610868647051
capacity-prior consistency,0.5065992698680146
capacity-prior consistency,0.38416175231676497
capacity-prior consistency,0.5024609759527494
capacity-prior consistency,0.6415599042658031
capacity-prior consistency,0.20953859178778048
capacity-prior consistency,0.4456844187032067
capacity-prior consistency,0.6042164441321153
capacity-prior consistency,0.455770850884583
capacity-prior consistency,0.6361594609769791
capacity-prior consistency,0.3731807262964533
capacity-prior consistency,0.4509254066180596
capacity-prior consistency,0.32846099789177796
capacity-prior consistency,0.5910175438596491
capacity-prior consistency,0.7535132096683531
capacity-prior consistency,0.4088227030064626
capacity-prior consistency,0.4002248454187746
capacity-prior consistency,0.4111703620544484
capacity-prior consistency,0.17898286035403205
capacity-prior consistency,0.47283985364480724
capacity-prior consistency,0.5037276691517795
capacity-prior consistency,0.39735658042744654
capacity-prior consistency,0.49325463743676223
capacity-prior consistency,0.613767809281986
capacity-prior consistency,0.5346353800758747
capacity-prior consistency,0.41857524237740623
capacity-prior consistency,0.5584852734922863
capacity-prior consistency,0.5767611563289362
capacity-prior consistency,0.22731104242764827
capacity-prior consistency,0.2379881989322844
capacity-prior consistency,0.48428731762065097
capacity-prior consistency,0.5124210526315789
capacity-prior consistency,0.5934822306503724
capacity-prior consistency,0.5705263157894737
capacity-prior consistency,0.40885453267744204
capacity-prior consistency,0.5924304476768818
capacity-prior consistency,0.621507791660817
capacity-prior consistency,0.48991963908078384
capacity-prior consistency,0.3426966292134831
capacity-prior consistency,0.5097571248069633
capacity-prior consistency,0.5716893694705799
capacity-prior consistency,0.5902054601745004
capacity-prior consistency,0.5369928400954654
capacity-prior consistency,0.7088714205502527
capacity-prior consistency,0.5888873298723166
capacity-prior consistency,0.8126845731964563
capacity-prior consistency,0.4320606400898372
capacity-prior consistency,0.6648390271334179
capacity-prior consistency,0.2793374508702976
capacity-prior consistency,0.5802642676412708
capacity-prior consistency,0.5946097697922516
capacity-prior consistency,0.3853275354187123
capacity-prior consistency,0.08156078320890266
capacity-prior consistency,0.44729824561403503
capacity-prior consistency,0.48428731762065097
capacity-prior consistency,0.566109315722917
capacity-prior consistency,0.46838999719022206
capacity-prior consistency,0.46159247296727984
capacity-prior consistency,0.4072512647554806
capacity-prior consistency,0.5306351883080382
capacity-prior consistency,0.5893835135514675
capacity-prior consistency,0.08397805598537066
capacity-prior consistency,0.28278573434428533
capacity-prior consistency,0.40981301841698303
capacity-prior consistency,0.598536036036036
capacity-prior consistency,0.6856017997750281
capacity-prior consistency,0.6327104116903189
capacity-prior consistency,0.6671344372719618
capacity-prior consistency,0.574037651025569
capacity-prior consistency,0.5118863412575608
capacity-prior consistency,0.731926863572433
capacity-prior consistency,0.7665074459117731
capacity-prior consistency,0.5194038245219348
capacity-prior consistency,0.10118376550169109
capacity-prior consistency,0.2517904788653279
capacity-prior consistency,0.6162184992256792
capacity-prior consistency,0.25506756756756754
capacity-prior consistency,0.42138541520303496
capacity-prior consistency,0.23472397808681
capacity-prior consistency,0.29963493400730135
capacity-prior consistency,0.3860412863361888
capacity-prior consistency,0.4090014064697608
capacity-prior consistency,-0.009143339428892951
capacity-prior consistency,0.48337308825592823
capacity-prior consistency,0.4513498312710911
capacity-prior consistency,0.5024554511014453
capacity-prior consistency,0.7225189766657297
capacity-prior consistency,0.6185798484423238
capacity-prior consistency,0.02485605954219913
capacity-prior consistency,0.4832374807125824
capacity-prior consistency,0.8823198988906052
capacity-prior consistency,0.5866816521494803
capacity-prior consistency,0.5296098793151838
capacity-prior consistency,0.5791842475386778
capacity-prior consistency,0.040011231222799384
capacity-prior consistency,0.24311410905002814
capacity-prior consistency,0.3116370808678501
capacity-prior consistency,0.47140649149922725
capacity-prior consistency,0.7242060691601976
capacity-prior consistency,0.34002544889014563
capacity-prior consistency,0.6585571649557024
capacity-prior consistency,0.48272957034540864
capacity-prior consistency,0.48568220101066817
capacity-prior consistency,0.643620011242271
capacity-prior consistency,0.6506108692599354
capacity-prior consistency,0.4628459053237815
capacity-prior consistency,0.5057568098848638
capacity-prior consistency,0.575
capacity-prior consistency,0.6822587442056469
capacity-prior consistency,0.5254522507362221
capacity-prior consistency,0.7920247992109344
capacity-prior consistency,0.39783738239011374
capacity-prior consistency,0.4670969552406342
capacity-prior consistency,0.4154494382022471
capacity-prior consistency,0.5417895771878074
capacity-prior consistency,0.45451993262212237
capacity-prior consistency,0.4761235955056179
capacity-prior consistency,0.5843754390895041
capacity-prior consistency,0.4853374491370844
capacity-prior consistency,0.2997474038731406
capacity-prior consistency,0.7731234186111893
capacity-prior consistency,0.6517343069793569
capacity-prior consistency,0.320892381086011
capacity-prior consistency,0.46752881641833016
capacity-prior consistency,0.5657672849915683
capacity-prior consistency,0.5093543395695597
capacity-prior consistency,0.7659783677482793
capacity-prior consistency,0.519157894736842
capacity-prior consistency,0.3516853932584269
capacity-prior consistency,0.37573715248525696
capacity-prior consistency,0.49305263157894735
capacity-prior consistency,0.5262195979193028
capacity-prior consistency,0.6375914462577377
capacity-prior consistency,0.4675834970530451
capacity-prior consistency,0.568858909499719
capacity-prior consistency,0.35243714004775956
capacity-prior consistency,0.3107027633609201
capacity-prior consistency,0.27844900252880034
capacity-prior consistency,0.7153705526648855
capacity-prior consistency,0.6227368421052631
capacity-prior consistency,0.3398848799663063
capacity-prior consistency,0.5309859154929577
capacity-prior consistency,0.67036361083813
capacity-prior consistency,-0.017292281737663437
capacity-prior consistency,0.5214275677954194
capacity-prior consistency,0.7937535171637591
capacity-prior consistency,0.6727528089887639
capacity-prior consistency,0.4458473625140292
capacity-prior consistency,0.35281719825769287
capacity-prior consistency,0.07396491228070175
capacity-prior consistency,0.5400168491996631
capacity-prior consistency,0.6724719101123594
capacity-prior consistency,0.49810313334270057
capacity-prior consistency,0.4816790678085076
capacity-prior consistency,0.6889824561403508
capacity-prior consistency,0.357403765102557
capacity-prior consistency,0.2858349760630808
capacity-prior consistency,0.1425364758698092
capacity-prior consistency,0.12905490801853672
capacity-prior consistency,0.6335019673974144
capacity-prior consistency,0.3822621386472073
capacity-prior consistency,0.34129548967261486
capacity-prior consistency,0.5509688289806235
capacity-prior consistency,0.6433389544688027
capacity-prior consistency,0.3207970811114229
capacity-prior consistency,0.6479842674532942
capacity-prior consistency,0.5297426522289411
capacity-prior consistency,0.4963442069741283
capacity-prior consistency,0.7031008839623966
capacity-prior consistency,0.6461668070766639
capacity-prior consistency,0.4316587145663766
capacity-prior consistency,0.4652076318742986
capacity-prior consistency,0.738567609399184
capacity-prior consistency,0.4440858706328049
capacity-prior consistency,0.4460542973695316
capacity-prior consistency,0.45908771929824554
capacity-prior consistency,0.6226468109019389
capacity-prior consistency,0.5851018973998595
capacity-prior consistency,0.43266395169217803
capacity-prior consistency,0.2660395900603678
capacity-prior consistency,0.2850513289270145
capacity-prior consistency,0.22556179775280896
capacity-prior consistency,0.48799999999999993
capacity-prior consistency,0.30360398261113447
capacity-prior consistency,0.4672292545710266
capacity-prior consistency,0.5786075238629983
capacity-prior consistency,0.5438596491228069
capacity-prior consistency,0.22350295192578018
capacity-prior consistency,0.6016865776528462
capacity-prior consistency,0.43447113358617795
